id,text,commercial_use,distribution,modification,private_use,patent_use,trademark_use,disclose_source,license_and_copyright_notice,same_license,state_changes,liability,warranty
1,under non patent rights subject to the terms and conditions of this agreement each contributor with respect to its own contribution to the subject software hereby grants to each recipient a non exclusive world wide royalty free license to engage in the following activities pertaining to the subject software 1,,,,,,,,,,,,
2,under patent rights subject to the terms and conditions of this agreement each contributor with respect to its own contribution to the subject software hereby grants to each recipient under covered patents a non exclusive world wide royalty free license to engage in the following activities pertaining to the subject software 1,,,,,,,,,,,,
3,offer for sale c the rights granted under paragraph b also apply to the combination of a contributors modification and the subject software if at the time the modification is added by the contributor the addition of such modification causes the combination to be covered by the covered patents,,,,,,,,,,,,
4,it does not apply to any other combinations that include a modification,,,,,,,,,,,,
5,d the rights granted in paragraphs a and b allow the recipient to sublicense those same rights,,,,,,,,,,,,
6,such sublicense must be under the same terms and conditions of this agreement,,,,,,,,,,,,
7,distribution or redistribution of the subject software must be made under this agreement except for additions covered under paragraph 3h,,,,,,,,,,,,
8,whenever a recipient distributes or redistributes the subject software a copy of this agreement must be included with each copy of the subject software and 2,,,,,,,,,,,,
9,if recipient distributes or redistributes the subject software in any form other than source code recipient must also make the source code freely available and must provide with each copy of the subject software information on how to obtain the source code in a reasonable manner on or through a medium customarily used for software exchange,,,,,,,,,,,,
10,each recipient must ensure that the following copyright notice appears prominently in the subject software [government agency will insert the applicable copyright notice in each agreement accompanying the initial distribution of original software and remove this bracketed language],,,,,,,,,,,,
11,[the following copyright notice will be used if created by a contractor pursuant to government agency contract and rights obtained from creator by assignment,,,,,,,,,,,,
12,government agency will insert the year and its agency designation and remove the bracketed language],,,,,,,,,,,,
13,copyright  {year} united states government as represented by ,,,,,,,,,,,,
14,[the following copyright notice will be used if created by civil servants only,,,,,,,,,,,,
15,government agency will insert the year and its agency designation and remove the bracketed language],,,,,,,,,,,,
16,copyright  {year} united states government as represented by ,,,,,,,,,,,,
17,no copyright is claimed in the united states under title 17 uscode,,,,,,,,,,,,
18,c each contributor must characterize its alteration of the subject software as a modification and must identify itself as the originator of its modification in a manner that reasonably allows subsequent recipients to identify the originator of the modification,,,,,,,,,,,,
19,in fulfillment of these requirements contributor must include a file eg a change log file that describes the alterations made and the date of the alterations identifies contributor as originator of the alterations and consents to characterization of the alterations as a modification for example by including a statement that the modification is derived directly or indirectly from original software provided by government agency,,,,,,,,,,,,
20,once consent is granted it may not thereafter be revoked,,,,,,,,,,,,
21,d a contributor may add its own copyright notice to the subject software,,,,,,,,,,,,
22,once a copyright notice has been added to the subject software a recipient may not remove it without the express permission of the contributor who added the notice,,,,,,,,,,,,
23,e a recipient may not make any representation in the subject software or in any promotional advertising or other material that may be construed as an endorsement by government agency or by any prior recipient of any product or service provided by recipient or that may seek to obtain commercial advantage by the fact of government agencys or a prior recipients participation in this agreement,,,,,,,,,,,,
24,f in an effort to track usage and maintain accurate records of the subject software each recipient upon receipt of the subject software is requested to register with government agency by visiting the following website ,,,,,,,,,,,,
25,recipients name and personal information shall be used for statistical purposes only,,,,,,,,,,,,
26,once a recipient makes a modification available it is requested that the recipient inform government agency at the web site provided above how to access the modification,,,,,,,,,,,,
27,[alternative paragraph for use when a web site for release and monitoring of subject software will not be supported by releasing government agency] in an effort to track usage and maintain accurate records of the subject software each recipient upon receipt of the subject software is requested to provide government agency by e mail to the government agency point of contact listed in clause 5f the following information ,,,,,,,,,,,,
28,recipients name and personal information shall be used for statistical purposes only,,,,,,,,,,,,
29,once a recipient makes a modification available it is requested that the recipient inform government agency by e mail to the government agency point of contact listed in clause 5f how to access the modification,,,,,,,,,,,,
30,g each contributor represents that that its modification is believed to be contributors original creation and does not violate any existing agreements regulations statutes or rules and further that contributor has sufficient rights to grant the rights conveyed by this agreement,,,,,,,,,,,,
31,h a recipient may choose to offer and to charge a fee for warranty support indemnity and or liability obligations to one or more other recipients of the subject software,,,,,,,,,,,,
32,a recipient may do so however only on its own behalf and not on behalf of government agency or any other recipient,,,,,,,,,,,,
33,such a recipient must make it absolutely clear that any such warranty support indemnity and or liability obligation is offered by that recipient alone,,,,,,,,,,,,
34,further such recipient agrees to indemnify government agency and every other recipient for any liability incurred by them as a result of warranty support indemnity and or liability offered by such recipient,,,,,,,,,,,,
35,a recipient may create a larger work by combining subject software with separate software not governed by the terms of this agreement and distribute the larger work as a single product,,,,,,,,,,,,
36,in such case the recipient must make sure subject software or portions thereof included in the larger work is subject to this agreement,,,,,,,,,,,,
37,notwithstanding any provisions contained herein recipient is hereby put on notice that export of any goods or technical data from the united states may require some form of export license from the us government,,,,,,,,,,,,
38,failure to obtain necessary export licenses may result in criminal liability under us laws,,,,,,,,,,,,
39,government agency neither represents that a license shall not be required nor that if required it shall be issued,,,,,,,,,,,,
40,disclaimer of warranties and liabilities waiver and indemnification a,,,,,,,,,,,,
41,no warranty the subject software is provided as is without any warranty of any kind either expressed implied or statutory including but not limited to any warranty that the subject software will conform to specifications any implied warranties of merchantability fitness for a particular purpose or freedom from infringement any warranty that the subject software will be error free or any warranty that documentation if provided will conform to the subject software,,,,,,,,,,,,
42,this agreement does not in any manner constitute an endorsement by government agency or any prior recipient of any results resulting designs hardware software products or any other applications resulting from use of the subject software,,,,,,,,,,,,
43,further government agency disclaims all warranties and liabilities regarding third party software if present in the original software and distributes it as is,,,,,,,,,,,,
44,b waiver and indemnity recipient agrees to waive any and all claims against the united states government its contractors and subcontractors as well as any prior recipient,,,,,,,,,,,,
45,if recipients use of the subject software results in any liabilities demands damages expenses or losses arising from such use including any damages from products based on or resulting from recipients use of the subject software recipient shall indemnify and hold harmless the united states government its contractors and subcontractors as well as any prior recipient to the extent permitted by law,,,,,,,,,,,,
46,recipients sole remedy for any such matter shall be the immediate unilateral termination of this agreement,,,,,,,,,,,,
47,termination this agreement and the rights granted hereunder will terminate automatically if a recipient fails to comply with these terms and conditions and fails to cure such noncompliance within thirty 30 days of becoming aware of such noncompliance,,,,,,,,,,,,
48,upon termination a recipient agrees to immediately cease use and distribution of the subject software,,,,,,,,,,,,
49,all sublicenses to the subject software properly granted by the breaching recipient shall survive any such termination of this agreement,,,,,,,,,,,,
50,b severability if any provision of this agreement is invalid or unenforceable under applicable law it shall not affect the validity or enforceability of the remainder of the terms of this agreement,,,,,,,,,,,,
51,c applicable law this agreement shall be subject to united states federal law only for all purposes including but not limited to determining the validity of this agreement the meaning of its provisions and the rights obligations and remedies of the parties,,,,,,,,,,,,
52,d entire understanding this agreement constitutes the entire understanding and agreement of the parties relating to release of the subject software and may not be superseded modified or amended except by further written agreement duly executed by the parties,,,,,,,,,,,,
53,e binding authority by accepting and using the subject software under this agreement a recipient affirms its authority to bind the recipient to all terms and conditions of this agreement and that that recipient hereby agrees to all terms and conditions herein,,,,,,,,,,,,
