id,text,commercial_use,distribution,modification,private_use,patent_use,trademark_use,disclose_source,license_and_copyright_notice,same_license,state_changes,liability,warranty
1,all other components of this product are copyright c 2008 2014 new relic inc all rights reserved,,,,,,,,,,,,
2,certain inventions disclosed in this file may be claimed within patents owned or patent applications filed by new relic inc or third parties,,,,,,,,,,,,
3,subject to the terms of this notice new relic grants you a nonexclusive nontransferable license without the right to sublicense to a install and execute one copy of these files on any number of workstations owned or controlled by you and b distribute verbatim copies of these files to third parties,,,,,,,,,,,,
4,as a condition to the foregoing grant you must provide this notice along with each copy you distribute and you must not remove alter or obscure this notice,,,,,,,,,,,,
5,all other use reproduction modification distribution or other exploitation of these files is strictly prohibited except as may be set forth in a separate written license agreement between you and new relic,,,,,,,,,,,,
6,the terms of any such license agreement will control over this notice,,,,,,,,,,,,
7,the license stated above will be automatically terminated and revoked if you exceed its scope or violate any of the terms of this notice,,,,,,,,,,,,
8,this license does not grant permission to use the trade names trademarks service marks or product names of new relic except as required for reasonable and customary use in describing the origin of this file and reproducing the content of this notice,,,,,,,,,,,,
9,you may not mark or brand this file with any trade name trademarks service marks or product names other than the original brand if any provided by new relic,,,,,,,,,,,,
10,unless otherwise expressly agreed by new relic in a separate written license agreement these files are provided as is without warranty of any kind including without any implied warranties of merchantability fitness for a particular purpose title or non infringement,,,,,,,,,,,,
11,as a condition to your use of these files you are solely responsible for such use,,,,,,,,,,,,
