id,text,commercial_use,distribution,modification,private_use,patent_use,trademark_use,disclose_source,license_and_copyright_notice,same_license,state_changes,liability,warranty
1,20 source code license 21 the initial developer grant the initial developer hereby grants you a world wide royalty free non exclusive license subject to third party intellectual property claims aunder intellectual property rights other than patent or trademark licensable by initial developer to use reproduce modify display perform sublicense and distribute the original code or portions thereof with or without modifications and or as part of a larger work and b under patents claims infringed by the making using or selling of original code to make have made use practice sell and offer for sale and or otherwise dispose of the original code or portions thereof,,,,,,,,,,,,
2,c the licenses granted in this section 21a and b are effective on the date initial developer first distributes original code under the terms of this license,,,,,,,,,,,,
3,d notwithstanding section 21b above no patent license is granted 1 for code that you delete from the original code 2 separate from the original code or 3 for infringements caused by i the modification of the original code or ii the combination of the original code with other software or devices including but not limited to modifications,,,,,,,,,,,,
4,the source code version of original code may be distributed only under the terms of this license or a future version of this license released under section 61 and you must include a copy of this license with every copy of the source code you distribute,,,,,,,,,,,,
5,you may not offer or impose any terms on any source code version that alters or restricts the applicable version of this license or the recipients rights hereunder,,,,,,,,,,,,
6,your license for shipment of the contributor version is conditioned upon your full compliance with this section,,,,,,,,,,,,
7,the modifications which you create must comply with all requirements set out by the standards body in effect one hundred twenty 120 days before you ship the contributor version,,,,,,,,,,,,
8,in the event that the modifications do not meet such requirements you agree to publish either i any deviation from the standards protocol resulting from implementation of your modifications and a reference implementation of your modifications or ii your modifications in source code form and to make any such deviation and reference implementation or modifications available to all third parties under the same terms a this license on a royalty free basis within thirty 30 days of your first customer shipment of your modifications,,,,,,,,,,,,
9,additionally in the event that the modifications you create do not meet the requirements set out in this section you agree to comply with the standards requirements set out in exhibit b,,,,,,,,,,,,
10,you must duplicate the notice in exhibit a in each file of the source code,,,,,,,,,,,,
11,if it is not possible to put such notice in a particular source code file due to its structure then you must include such notice in a location such as a relevant directory where a user would be likely to look for such a notice,,,,,,,,,,,,
12,if you created one or more modifications you may add your name as a contributor to the notice described in exhibit a,,,,,,,,,,,,
13,you must also duplicate this license in any documentation for the source code where you describe recipients rights or ownership rights relating to initial code,,,,,,,,,,,,
14,you may choose to offer and to charge a fee for warranty support indemnity or liability obligations to one or more recipients of your version of the code,,,,,,,,,,,,
15,however you may do so only on your own behalf and not on behalf of the initial developer,,,,,,,,,,,,
16,you must make it absolutely clear than any such warranty support indemnity or liability obligation is offered by you alone and you hereby agree to indemnify the initial developer for any liability incurred by the initial developer as a result of warranty support indemnity or liability terms you offer,,,,,,,,,,,,
17,you may distribute original code in executable and source form only if the requirements of sections 31 and 32 have been met for that original code and if you include a notice stating that the source code version of the original code is available under the terms of this license,,,,,,,,,,,,
18,the notice must be conspicuously included in any notice in an executable or source versions related documentation or collateral in which you describe recipients rights relating to the original code,,,,,,,,,,,,
19,you may distribute the executable and source versions of your version of the code or ownership rights under a license of your choice which may contain terms different from this license provided that you are in compliance with the terms of this license,,,,,,,,,,,,
20,if you distribute the executable and source versions under a different license you must make it absolutely clear that any terms which differ from this license are offered by you alone not by the initial developer,,,,,,,,,,,,
21,you hereby agree to indemnify the initial developer for any liability incurred by the initial developer as a result of any such terms you offer,,,,,,,,,,,,
22,you may create a larger work by combining original code with other code not governed by the terms of this license and distribute the larger work as a single product,,,,,,,,,,,,
23,in such a case you must make sure the requirements of this license are fulfilled for the original code,,,,,,,,,,,,
24,40 inability to comply due to statute or regulation if it is impossible for you to comply with any of the terms of this license with respect to some or all of the original code due to statute judicial order or regulation then you must a comply with the terms of this license to the maximum extent possible and b describe the limitations and the code they affect,,,,,,,,,,,,
25,such description must be included in the legal file described in section 32 and must be included with all distributions of the source code,,,,,,,,,,,,
26,except to the extent prohibited by statute or regulation such description must be sufficiently detailed for a recipient of ordinary skill to be able to understand it,,,,,,,,,,,,
27,50 application of this license this license applies to code to which the initial developer has attached the notice in exhibit a and to related modifications as set out in section 31,,,,,,,,,,,,
28,sun may publish revised and or new versions of the license from time to time,,,,,,,,,,,,
29,each version will be given a distinguishing version number,,,,,,,,,,,,
30,once original code has been published under a particular version of the license you may always continue to use it under the terms of that version,,,,,,,,,,,,
31,you may also choose to use such original code under the terms of any subsequent version of the license published by sun,,,,,,,,,,,,
32,no one other than sun has the right to modify the terms applicable to original code,,,,,,,,,,,,
33,70 disclaimer of warranty original code is provided under this license on an as is basis without warranty of any kind either expressed or implied including without limitation warranties that the original code is free of defects merchantable fit for a particular purpose or non infringing,,,,,,,,,,,,
34,the entire risk as to the quality and performance of the original code is with you,,,,,,,,,,,,
35,should any original code prove defective in any respect you not the initial developer assume the cost of any necessary servicing repair or correction,,,,,,,,,,,,
36,this disclaimer of warranty constitutes an essential part of this license,,,,,,,,,,,,
37,no use of any original code is authorized hereunder except under this disclaimer,,,,,,,,,,,,
38,80 termination 81 this license and the rights granted hereunder will terminate automatically if you fail to comply with terms herein and fail to cure such breach within 30 days of becoming aware of the breach,,,,,,,,,,,,
39,all sublicenses to the original code which are properly granted shall survive any termination of this license,,,,,,,,,,,,
40,provisions which by their nature must remain in effect beyond the termination of this license shall survive,,,,,,,,,,,,
41,82 in the event of termination under section 81 above all end user license agreements excluding distributors and resellers which have been validly granted by you or any distributor hereunder prior to termination shall survive termination,,,,,,,,,,,,
42,exhibit a   sun industry standards source license the contents of this file are subject to the sun industry standards source license version 12 the license you may not use this file except in compliance with the license,,,,,,,,,,,,
43,you may obtain a copy of the license at gridenginesunsourcenet licensehtml software distributed under the license is distributed on an as is basis without warranty of any kind either express or implied,,,,,,,,,,,,
44,see the license for the specific language governing rights and limitations under the license,,,,,,,,,,,,
45,the initial developer of the original code is sun microsystems inc portions created by sun microsystems inc are copyright c 2001 sun microsystems inc all rights reserved,,,,,,,,,,,,
46,contributors  exhibit b   standards 10 requirements for project standards,,,,,,,,,,,,
47,the requirements for project standards are version dependent and are defined at grid engine standards,,,,,,,,,,,,
48,the additional requirements pursuant to section 31 are defined as 21 naming conventions,,,,,,,,,,,,
49,if any of your modifications do not meet the requirements of the standard then you must change the product name so that grid engine gridengine gridenginesunsource and similar naming conventions are not used,,,,,,,,,,,,
50,if any of your modifications do not meet the requirements of the standards you may not claim directly or indirectly that your implementation of the standards is compliant,,,,,,,,,,,,
51,standard license header the contents of this file are subject to the sun industry standards source license version 12 the license you may not use this file except in compliance with the license,,,,,,,,,,,,
52,you may obtain a copy of the license at gridenginesunsourcenet licensehtml software distributed under the license is distributed on an as is basis without warranty of any kind either express or implied,,,,,,,,,,,,
53,see the license for the specific language governing rights and limitations under the license,,,,,,,,,,,,
54,the initial developer of the original code is sun microsystems inc portions created by sun microsystems inc are copyright c 2001 sun microsystems inc all rights reserved,,,,,,,,,,,,
