id,text,commercial_use,distribution,modification,private_use,patent_use,trademark_use,disclose_source,license_and_copyright_notice,same_license,state_changes,liability,warranty
1,your order will identify the vendor your authorized scope of use of the app such as the platform or number of seats and license or subscription term as applicable,0,0,0,0,0,0,0,0,0,0,0,0
2,once you complete your order atlassian will provide with you access to the applicable apps including any relevant license or access keys as described in the marketplace policies,0,0,0,0,0,0,0,0,0,0,0,0
3,to receive access to paid apps you must pay atlassian the fees including all taxes indicated at the time of your order,0,0,0,0,0,0,0,0,0,0,0,0
4,terms for renewals including pricing will be described within the appÃ¢ÂÂs listing on the atlassian marketplace or if different your order,0,0,0,0,0,0,0,0,0,0,0,0
5,you can disable renewals by visiting myatlassiancom or by emailing sales@atlassiancom but you will not receive any refunds except as described in section 23,0,0,0,0,0,0,0,0,0,0,0,0
6,for any third party app you acknowledge and agree that atlassian is the vendorÃ¢ÂÂs commercial agent and that you are required to make any related payments directly to atlassian and your sales contract with atlassian includes these terms of use and the applicable order,0,0,0,0,0,0,0,0,0,0,0,0
7,however after you complete your order your usage of any third party apps will be governed by the applicable vendor terms as described in section 3,0,0,0,0,0,0,0,0,0,0,0,0
8,note this section 22 does not apply to paid via vendor apps see section 25 below,0,0,0,0,0,0,0,0,0,0,0,0
9,returns and refunds of atlassian apps are governed by the atlassian terms as defined in section 31b,0,0,0,0,0,0,0,0,0,0,0,0
10,for third party apps you have thirty 30 days from the date you place your order to cancel your order and return the app,0,0,0,0,0,0,0,0,0,0,0,0
11,if you cancel your order of a third party app within this 30 day period atlassian will refund the amount you paid for the applicable third party app and you must cease using the app and delete any copies of the app in your possession,0,0,0,0,0,0,0,0,0,0,0,0
12,except as expressly provided in this section 23 all orders are non cancelable and non refundable,0,0,0,0,0,0,0,0,0,0,0,0
13,note this section 23 does not apply to paid via vendor apps see section 25 below,0,0,0,0,0,0,0,0,0,0,0,0
14,the atlassian marketplace may offer free trial periods for apps,0,0,0,0,0,0,0,0,0,0,0,0
15,after expiration of the trial period if you do not place an order for the app the app will cease to function and you must cease using and delete your copies of the app and any related license or access keys,0,0,0,0,0,0,0,0,0,0,0,0
16,while most apps are provisioned by atlassian as described in section 1 some third party apps may be enabled or paid for through a third party vendorÃ¢ÂÂs own website Ã¢ÂÂpaid via vendor appsÃ¢ÂÂ,0,0,0,0,0,0,0,0,0,0,0,0
17,paid via vendor apps will be identified in their listings or when you enable or pay for the app,0,0,0,0,0,0,0,0,0,0,0,0
18,section 22 paid apps and section 23 return policy do not apply to paid via vendor apps and returns if any would be governed by the applicable vendor terms,0,0,0,0,0,0,0,0,0,0,0,0
19,without limiting the disclaimers restrictions or other provisions in these terms of use usage of apps is subject to the license or subscription terms privacy policies and other applicable terms specified by the vendor Ã¢ÂÂvendor termsÃ¢ÂÂ,0,1,0,1,0,0,0,0,0,0,0,0
20,vendor terms are typically included on the appÃ¢ÂÂs listing page or presented through the order process,0,0,0,0,0,0,0,0,0,0,0,0
21,you may not use an app if you do not agree to the relevant vendor terms,0,0,0,0,0,0,0,0,0,0,0,0
22,third party apps are subject to the third partyÃ¢ÂÂs vendor terms not the atlassian terms,0,0,0,0,0,0,0,0,0,0,0,0
