id,text,commercial_use,distribution,modification,private_use,patent_use,trademark_use,disclose_source,license_and_copyright_notice,same_license,state_changes,liability,warranty
1,microsoft pre release software license terms microsoft aspnet tools these license terms are an agreement between microsoft corporation or based on where you live one of its affiliates and you,0,0,0,0,0,0,0,0,1,0,0,0
2,they apply to the pre release software named above which includes the media on which you received it if any,0,0,0,0,0,0,0,0,0,0,0,0
3,the terms also apply to any microsoft Ã¢Â· updates Ã¢Â· supplements Ã¢Â· internet based services and Ã¢Â· support services for this software unless other terms accompany those items,0,0,0,0,0,0,0,0,0,0,0,0
4,if you do not accept them do not use the software,0,0,0,0,0,0,0,0,0,0,0,0
5,as described below using some features also operates as your consent to the transmission of certain standard computer information for internet based services,0,0,0,0,0,0,0,0,0,0,0,0
6,if you comply with these license terms you have the rights below,0,0,0,0,0,0,0,0,0,0,0,0
7,Ã¢Â· you may install and use any number of copies of the software on your premises to design develop and test your aspnet programs,1,0,0,0,0,0,0,0,0,0,0,0
8,because the software is a pre release version and may not work correctly provided that you take adequate precautionary measures to back up and protect any data that may be affected by use of the software you may deploy your programs to a hosting provider for production validation at your sole discretion and risk on the following conditions o you agree to assume all risk associated with use of the software o you may not make any representation warranty or promise on behalf of microsoft or with respect to the software or its performance and o you may not use the software for hazardous environments that require fail safe controls,0,0,0,0,0,0,0,0,0,0,0,0
9,you may copy and distribute the object code form of code and files listed in the packages at http  gomicrosoftcom fwlink ?linkid296594 as part of your aspnet programs deployed to a hosting provider if you comply with the terms below,0,0,0,0,0,0,0,0,0,0,0,0
10,for any distributable code you distribute you must Ã¢Â· use the distributable code in your programs and not as a standalone distribution Ã¢Â· require distributors and your external users to agree to terms that protect it at least as much as this agreement and Ã¢Â· indemnify defend and hold harmless microsoft from any claims including attorneys fees related to the distribution of your programs,0,1,0,0,0,0,0,0,0,0,0,0
11,you may not Ã¢Â· alter any copyright trademark or patent notice in the distributable code Ã¢Â· use microsoftÃ¢ÂÂs trademarks in your programsÃ¢ÂÂ names or in a way that suggests your programs come from or are endorsed by microsoft Ã¢Â· distribute distributable code to run on a platform other than the windows platform Ã¢Â· include distributable code in malicious deceptive or unlawful programs or Ã¢Â· modify or distribute the source code of any distributable code so that any part of it becomes subject to an excluded license,0,1,1,0,0,0,0,0,0,0,0,0
12,an excluded license is one that requires as a condition of use modification or distribution that Ã¢Â· the code be disclosed or distributed in source code form or Ã¢Â· others have the right to modify it,0,1,0,0,0,0,0,0,0,0,0,0
13,when commercially available you must acquire and use the final release version of the software in order to develop and distribute versions of your programs that work with the final commercial release of the software,1,1,0,0,0,0,0,0,0,0,0,0
14,the software may include third party programs that microsoft not the third party licenses to you under this agreement,0,0,0,0,0,0,0,0,0,0,0,0
15,notices if any for the third party program are included for your information only,0,0,0,0,0,0,0,0,0,0,0,0
16,you agree to indemnify hold harmless and defend microsoft from and against any claims allegations lawsuits losses and costs including attorney fees that arise or result from the use deployment or distribution of your programs that use the software,0,1,0,0,0,0,0,0,0,0,1,0
